AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Literature,All Students,11,147,6.8,68.0,17.0,8.2
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Literature,Historically Underperforming,11,56,1.8,44.6,35.7,17.9
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Algebra I,All Students,11,182,6.6,27.5,35.7,30.2
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Algebra I,Historically Underperforming,11,107,2.8,18.7,40.2,38.3
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Biology,All Students,11,182,11.5,21.4,26.9,40.1
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Biology,Historically Underperforming,11,106,5.7,15.1,27.4,51.9
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Literature,All Students,11,192,5.2,45.3,31.8,17.7
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Literature,Historically Underperforming,11,114,0.9,32.5,39.5,27.2
103026037,000006672,ALLEGHENY,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Algebra I,All Students,11,7,,,,
103026037,000006672,ALLEGHENY,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Algebra I,Historically Underperforming,11,6,,,,
103026037,000006672,ALLEGHENY,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Biology,All Students,11,8,,,,
103026037,000006672,ALLEGHENY,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Biology,Historically Underperforming,11,7,,,,
103026037,000006672,ALLEGHENY,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Literature,All Students,11,5,,,,
103026037,000006672,ALLEGHENY,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Literature,Historically Underperforming,11,5,,,,
103026303,000005017,ALLEGHENY,MONTOUR SD,MONTOUR HS,Algebra I,All Students,11,213,38.0,43.2,16.0,2.8
